,Country,Survey,Start,End,chunk
0,Estonia,National Dietary Survey 1997,1997-01-01,1997-12-31,0
23,Sweden,Swedish National Dietary Survey - RIKSMATEN 1997-98,1997-06-01,1998-06-01,0
17,Ireland,North/South Ireland Food Consumption Survey,1997-06-01,1999-06-01,0
3,Spain,Food patterns of Spanish schoolchildren and adolescents,1998-06-01,2000-06-01,0
4,Spain,Spanish Agency for Food Safety (AESAN) Survey,1999-06-01,2001-06-01,0
9,Finland,Special Turku Coronary Risk Factor Intervention Project,2000-01-01,2000-12-31,0
14,United Kingdom,National Diet and Nutrition Survey,2000-06-01,2001-06-01,0
19,Netherlands,Dutch National Dietary Survey 2003,2003-01-01,2003-12-31,0
24,Sweden,National Food Administration,2003-01-01,2003-12-31,0
10,Finland,Diabetes Prediction and Prevention Nutrition Study (DIPP) 2003 -2006,2003-06-01,2006-06-01,0
5,Spain,Encuesta de nutrición 2005,2004-06-01,2005-06-01,0
20,Netherlands,DNFCS-Young-Children,2006-06-01,2007-06-01,0
11,Finland,National Findiet Surveys,2007-01-01,2007-12-31,1
21,Netherlands,Dutch National food consumption survey 2007 - 2010,2007-03-01,2010-04-01,1
12,Finland,Nutrition and wellbeing of secondary school pupils,2007-03-01,2008-06-01,1
15,United Kingdom,National Diet and Nutrition Survey - Years 1-3,2008-09-01,2011-11-01,1
18,Ireland,National Adult Nutrition Survey,2008-10-01,2010-04-01,1
6,Spain,Spanish Agency for Food Safety (AESAN) - FIAB Survey,2009-01-01,2009-12-31,1
25,Sweden,Swedish National Dietary Survey - Riksmaten adults 2010-11,2010-05-01,2011-07-01,1
22,Netherlands,Dutch National Food Consumption Surveys - Older Adults,2010-10-15,2012-02-15,1
16,United Kingdom,"Diet and Nutrition Survey of Infants and Young Children, 2011",2011-01-06,2011-08-30,1
13,Finland,National FINDIET 2012 Survey,2012-01-01,2012-04-01,1
7,Spain,Spanish National dietary survey on children and adolescents,2012-11-01,2014-07-01,1
2,Estonia,National Dietary Survey among children up to ten years old and breastfeeding mothers in Estonia,2013-10-01,2015-06-01,1
1,Estonia,National Dietary Survey among 11-74 years old individuals in Estonia,2013-10-01,2015-04-01,1
8,Spain,"Spanish National dietary survey in adults, elderly and pregnant women",2013-11-01,2015-12-01,1
